Number of Posts,Followers,Following,Label,follower_following_ratio
-0.260870009,-0.221937096,-0.737090207,0,0.268554286
-0.409993593,-0.890231931,-0.956132683,0,-0.595696085
-0.355766835,-0.790942412,-1.026104585,0,-0.151319248
-0.409993593,-0.855862482,-1.032189098,0,-0.420623232
-0.409993593,-0.050089853,-0.548470297,0,0.145331022
3.006292164,3.447956254,0.787080353,0,0.603736726
-0.22019994,-0.2639442,-0.016075391,0,-0.319568379
-0.030406287,0.748045121,-0.58193512,0,0.957271231
-0.409993593,-0.882594276,-1.050442638,0,-0.526103846
-0.409993593,0.366162359,0.029558458,0,-0.038905224
-0.328653456,0.011011389,-0.390272954,0,0.029180628
1.16258239,0.675487397,1.012207342,0,-0.227473825
-0.030406287,-0.512167996,-0.837484675,0,0.048890327
-0.409993593,-0.878775448,-1.007851045,0,-0.541317396
-0.274426698,0.538009602,0.394629251,0,-0.11670293
-0.409993593,-0.40905965,-0.703625384,0,-0.026386698
-0.396436904,-0.840587172,-0.676245075,0,-0.557241558
-0.355766835,0.014830217,-0.390272954,0,0.031928361
0.105160608,-0.168473509,-0.013033135,0,-0.274410874
-0.057519666,-0.500711513,1.571982558,1,-0.546705528
-0.409993593,-0.897869586,-1.12041454,0,-0.564829246
-0.382880214,-0.561812755,-0.435906803,0,-0.367435974
0.281397572,-0.405240822,-0.174272735,0,-0.349084899
0.90500529,3.134812389,0.020431688,0,1.261054736
3.101188991,0.41198829,-1.023062328,0,4.889919965
-0.274426698,-0.05390868,0.522404028,0,-0.349652436
-0.409993593,-0.210480613,0.765784557,0,-0.429695105
-0.382880214,2.340496242,0.282065756,0,0.613021457
1.962427072,-0.817674206,-0.466329369,0,-0.560390431
0.037377161,1.962432307,0.193840315,0,0.540103867
-0.409993593,-0.798580068,-0.837484675,0,-0.448475732
-0.369323525,-0.806217723,-0.527174501,0,-0.54382837
-0.409993593,-0.890231931,-0.804019852,0,-0.609535836
-0.016849597,-0.367052546,-0.807062109,0,0.219449074
0.010263782,-0.897869586,-0.791850826,0,-0.621731875
-0.071076356,1.950975824,1.80319406,0,-0.097494943
0.8914486,0.045380838,0.987869289,0,-0.384571729
-0.193086561,-0.267763027,-0.317258795,0,-0.211211021
-0.409993593,-0.901688414,2.706744272,1,-0.627527513
-0.396436904,2.348133897,0.841840972,0,0.267165285
-0.328653456,-0.832949516,-1.123456796,0,0.61389817
1.311705975,-0.057727508,-0.657991535,0,0.307561362
-0.274426698,-0.653464618,-0.901372064,0,-0.087415937
-0.409993593,-0.347958408,1.958349147,1,-0.529772151
-0.247313319,0.896979399,-0.396357467,0,0.677049677
-0.369323525,0.499821326,-0.101258576,0,0.104012669
1.135469011,0.744226294,1.80319406,1,-0.321712201
1.325262665,1.515629475,2.731082325,0,-0.28565748
-0.409993593,-0.855862482,-0.104300833,0,-0.603538611
0.294954261,0.014830217,0.105614873,0,-0.227712478
-0.409993593,-0.733659998,-0.788808569,0,-0.374644503
0.972788737,0.832059329,0.647136549,0,-0.098616796
-0.260870009,1.729483822,-0.889203037,0,4.834428395
2.5724781,0.988631262,-1.004808789,0,6.33965744
0.864335221,-0.867318965,2.925786748,1,-0.622898782
-0.409993593,-0.897869586,2.262574808,1,-0.626913371
-0.342210146,-0.676377584,-0.995682019,0,0.154995086
-0.328653456,-0.431972615,1.045672165,0,-0.510195901
