Number of Posts,Followers,Following,Label
11,178,137,0
0,3,65,0
4,29,42,0
0,12,40,0
118,246,1894,1
0,223,199,0
252,1139,638,0
14,167,374,0
555,918,2453,1
28,432,188,0
0,5,34,0
0,332,389,0
6,239,251,0
116,413,712,0
28,102,104,0
0,6,48,0
10,377,509,0
0,129,148,0
1,16,157,0
4,240,251,0
38,192,375,0
26,105,896,1
45,4471,299,0
0,1,11,0
2,89,236,0
51,130,322,0
719,1512,592,0
97,1057,386,0
259,344,43,0
10,222,551,0
0,181,631,0
2,849,472,0
9,1271,109,0
11,1441,838,0
175,22,226,0
82,2108,461,0
33,750,443,0
0,27,104,0
3,25,206,0
0,3,115,0
29,140,114,0
2,317,1634,1
31,1,119,0
25,747,972,0
96,248,704,0
16,166,275,0
0,0,1269,1
1,851,656,0
6,18,10,0
127,221,163,0
1803,538,4270,1
10,65,83,0
0,145,1023,1
12,471,249,0
3,367,346,0
114,431,972,1
128,633,1277,0
0,12,345,0
52,240,414,0
0,44,120,0
102,454,592,0
11,689,87,0
220,495,49,0
94,9,1341,1
0,1,1123,1
0,2732,111,0
5,59,52,0
6,123,723,0
0,1,577,1
53,168,115,0
107,262,176,0
2,87,114,0
0,103,171,0
0,434,861,0
6,45,61,0
0,1,10,1
0,146,150,0
10,24,291,1
2,0,154,1
50,954,765,0
25,363,842,0
39,656,512,0
455,1349,275,0
106,226,5776,1
58,2178,609,0
1,35,116,0
0,146,663,1
7,404,543,0
293,87,799,1
638,483,5997,1
15,414,530,0
57,445,605,0
0,0,97,1
1066,1085,6921,1
0,7,244,1
2,127,255,0
81,209,1021,1
74,122,38,0
0,4,195,1
1710,2514,4511,1
2,1199,810,0
11,254,523,0
1,269,72,0
0,29,418,1
0,1,44,1
39,3006,793,0
0,9,29,0
0,283,538,0
3,115,128,0
113,96,768,1
1137,1414,686,0
6,715,712,0
0,0,64,1
3,344,274,0
1,166,233,0
22,501,2712,1
1,773,701,0
37,495,511,0
1,102,731,0
34,318,1011,1
4,694,728,0
0,3,27,1
68,256,6291,1
0,54,781,1
0,127,162,0
0,76,132,0
0,0,37,1
30,30,104,1
0,6,71,1
67,324,1130,1
375,581,4824,1
0,0,58,1
0,66,124,0
43,296,353,0
0,1,43,1
234,5646,3794,0
66,3111,1758,0
1,426,618,0
0,0,879,1
9,178,266,0
0,143,279,0
0,10,1032,1
0,0,119,1
0,686,225,0
0,38,128,0
22,2338,522,0
0,87,107,0
0,194,1953,1
13,68,1326,1
0,497,724,0
2,421,469,0
127,37,145,1
11,312,413,0
37,178,195,0
11,183,560,0
420,173,16,0
704,2736,1161,0
0,137,406,0
0,104,110,0
8,242,583,0
0,0,650,1
117,29,1075,1
137,78402,44,0
9,933,553,1
0,96,129,0
0,0,634,1
33,1660,631,0
19,136,303,0
43,127,225,0
14,152,2206,1
5,144,1482,1
3,46,3216,1
0,8,870,1
0,353,2197,1
1,18,71,1
57,364,1302,1
0,40,499,1
37,222,1103,1
0,390,3106,1
21,308,251,0
5,69,752,1
15,68,92,0
0,7,21,0
5,134,812,1
0,21,30,0
20,296,230,0
145,295,487,0
16,943,174,0
1,54,1071,1
30,9178,213,0
39,358,356,0
195,473,1223,1
0,413,374,0
33,281,322,0
15,176,130,0
17,233,259,0
18,301,369,0
0,183,777,1
203,384,1143,1
34,2946,840,0
34,1795,272,0
0,0,941,1
4,37,125,0
561,151,1611,1
47,141,158,0
13,240,1428,1
215,330,2977,1
48,123,98,0
73,2094,731,0
8,55,2346,1
0,9,669,1
253,682,1123,1
0,266,329,0
43,150,257,0
3,236,387,0
18,142,232,0
941,1833,514,0
6,911,219,0
6,117,90,0
39,51,148,0
27,2,2103,1
269,5399,68,0
0,37,174,1
0,869,169,0
0,7,110,1
0,244,77,0
418,1660,908,0
0,51,526,1
64,659,1232,0
117,7006,230,0
243,561,194,0
0,44,884,1
20,209,57,0
114,223,219,0
53,7994,3303,0
8,178,242,0
0,33,58,0
147,118,1951,1
0,4,148,1
0,1324,904,0
0,217,354,0
0,4,68,1
463,1062,380,0
8,1241,800,0
50,629,1207,1
212,679,5474,1
132,662,1688,0
53,240,1196,1
