Username,Username Length_x,Username Digits_x,Username Special Chars_x,Full Name_x,Full Name Length_x,Full Name Words_x,Username Similarity_x,Has Profile Pic_x,Profile Pic Path_x,Bio_x,Bio Length_x,Bio Words_x,Bio Has Suspicious_x,External URL_x,Has External URL_x,Is Private_x,Number of Posts_x,Followers_x,Following_x,Username Length_y,Username Digits_y,Username Special Chars_y,Full Name_y,Full Name Length_y,Full Name Words_y,Username Similarity_y,Has Profile Pic_y,Profile Pic Path_y,Bio_y,Bio Length_y,Bio Words_y,Bio Has Suspicious_y,External URL_y,Has External URL_y,Is Private_y,Number of Posts_y,Followers_y,Following_y
wadhwani__sejal,15,0,0,Sejal_wadhwani..,16,1,0,1,profile_pictures/wadhwani__sejal_profile_pic.jpg,Udaipur 📍,9,2,0,,0,TRUE,0,181,631,15,0,0,Sejal_wadhwani..,16,1,0,1,profile_pictures/wadhwani__sejal_profile_pic.jpg,Udaipur 📍,9,2,0,,0,TRUE,0,183,638
the_shalini_cooks,17,0,0,Shalini,7,1,1,1,profile_pictures/the_shalini_cooks_profile_pic.jpg,"Mom of 3❤️
👩🏻‍🍳Learn simple recipe.....✌️
Join the family 👇😃",60,10,0,https://youtube.com/channel/UCTjcwYfx-MzKaXDBoJY_rdg,1,FALSE,203,384,1143,17,0,0,Shalini,7,1,1,1,profile_pictures/the_shalini_cooks_profile_pic.jpg,"Mom of 3❤️
👩🏻‍🍳Learn simple recipe.....✌️
Join the family 👇😃",60,10,0,https://youtube.com/channel/UCTjcwYfx-MzKaXDBoJY_rdg,1,FALSE,203,384,1173
thewalking_dead1923,19,4,0,,0,0,1,1,profile_pictures/thewalking_dead1923_profile_pic.jpg,,0,0,0,,0,TRUE,0,40,1361,19,4,0,,0,0,1,1,profile_pictures/thewalking_dead1923_profile_pic.jpg,,0,0,0,,0,TRUE,0,40,1538
umar1212q,9,4,0,,0,0,1,1,profile_pictures/umar1212q_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,1054,9,4,0,,0,0,1,1,profile_pictures/umar1212q_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,1169
_vian_00,8,2,0,Vian💕,5,1,0,1,profile_pictures/_vian_00_profile_pic.jpg,,0,0,0,,0,TRUE,0,17,605,8,2,0,Vian💕,5,1,0,1,profile_pictures/_vian_00_profile_pic.jpg,,0,0,0,,0,TRUE,0,18,643
_unknownnn_20,13,2,0,,0,0,1,1,profile_pictures/_unknownnn_20_profile_pic.jpg,,0,0,0,,0,TRUE,0,23,156,13,2,0,,0,0,1,1,profile_pictures/_unknownnn_20_profile_pic.jpg,,0,0,0,,0,TRUE,0,23,164
chhav_ichauhan,14,0,0,Chhavi Chauhan,14,2,0,1,profile_pictures/chhav_ichauhan_profile_pic.jpg,"I am passionate about learning new skills 😉
 🎂🎂 27th june.",58,11,0,,0,FALSE,5,341,239,14,0,0,Chhavi Chauhan,14,2,0,1,profile_pictures/chhav_ichauhan_profile_pic.jpg,"I am passionate about learning new skills 😉
 🎂🎂 27th june.",58,11,0,,0,FALSE,5,348,243
_laksh_ana_,11,0,0,ℓαкѕнн,6,1,0,1,profile_pictures/_laksh_ana__profile_pic.jpg,📍Chennai,8,1,0,,0,TRUE,17,344,800,11,0,0,ℓαкѕнн,6,1,0,1,profile_pictures/_laksh_ana__profile_pic.jpg,📍Chennai,8,1,0,,0,TRUE,17,343,818
ni_shi6293,10,4,0,Karuna,6,1,0,1,profile_pictures/ni_shi6293_profile_pic.jpg,🥰😇💫,3,1,0,,0,TRUE,2,183,98,10,4,0,Karuna,6,1,0,1,profile_pictures/ni_shi6293_profile_pic.jpg,🥰😇💫,3,1,0,,0,TRUE,2,181,104
sweetshrija23,13,2,0,❤️🎐😈๖ۣۜƊarҜberry😈🎐❤️,20,1,0,1,profile_pictures/sweetshrija23_profile_pic.jpg,"𝑾𝒊𝒔𝒉 𝒎𝒆 𝒐𝒏 23𝒕𝒉 𝒋𝒖𝒏𝒆🥳🎂🥂
🩷꧁ ༒राधे राधे༒꧂🩵
💞💫राधे कृष्ण💞💫
❥𝐂hσͥcͣσͫlαtє❦➳Ꮮover🍫❤️",79,11,0,,0,FALSE,366,1407,193,13,2,0,❤️🎐😈๖ۣۜƊarҜberry😈🎐❤️,20,1,0,1,profile_pictures/sweetshrija23_profile_pic.jpg,"𝑾𝒊𝒔𝒉 𝒎𝒆 𝒐𝒏 23𝒕𝒉 𝒋𝒖𝒏𝒆🥳🎂🥂
🩷꧁ ༒राधे राधे༒꧂🩵
💞💫राधे कृष्ण💞💫
❥𝐂hσͥcͣσͫlαtє❦➳Ꮮover🍫❤️",79,11,0,,0,FALSE,366,1403,200
